station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
7210130,3,2001,03,24,15,28,31. ,26,00092
7210130,1,2001,04,25,23,40,58. ,13,00024
7210130,2,2002,11,04,13,36,49. ,16,00043
7210130,1,2004,09,06,10,03,42. ,13,00086
7210130,1,2004,11,04,03,13,28. ,13,00124
7210130,A,2005,03,20,10,53,51. ,48,01369
7210130,1,2005,03,20,10,56,09. ,14,00046
7210130,1,2005,03,20,11,50,20. ,11,00051
7210130,1,2005,03,20,20,08,33. ,14,00059
7210130,1,2005,03,20,20,38,33. ,14,00042
7210130,1,2005,03,21,06,17,16. ,10,00042
7210130,1,2005,03,21,23,59,41. ,13,00029
7210130,2,2005,03,22,15,55,43. ,17,00045
7210130,1,2005,03,25,21,03,39. ,10,00033
7210130,2,2005,04,01,21,52,25. ,20,00191
7210130,1,2005,04,10,20,34,52. ,14,00029
7210130,4,2005,04,20,06,11,34. ,41,00892
7210130,2,2005,04,20,06,23,03. ,17,00095
7210130,1,2005,04,20,06,45,05. ,14,00052
7210130,3,2005,04,20,09,09,50. ,28,00349
7210130,2,2005,05,02,01,24,05. ,23,00137
7210130,2,2005,05,31,11,05,28. ,16,00029
7210130,1,2005,06,03,04,17,11. ,12,00034
7210130,1,2005,07,05,05,10,19. ,10,00043
7210130,1,2006,02,04,00,12,45. ,10,00015
7210130,1,2006,03,27,11,51,19. ,13,00026
7210130,2,2006,06,12,05,01,51. ,15,00026
7210130,1,2006,09,26,07,04,26. ,11,00019
7210130,1,2009,04,05,18,37,32. ,12,00017
7210130,1,2009,08,17,20,40,27. ,10,00053
