station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
7780931,4,1998,11,07,20,13,41,03616
7780931,2,1998,12,23,10,07,15,00126
7780931,2,1999,01,24,09,38,16,00087
7780931,2,1999,03,01,15,03,23,00356
7780931,3,2000,03,21,17,51,27,00614
7780931,2,2000,04,16,23,50,15,00128
7780931,2,2000,06,06,23,57,20,00103
7780931,2,2000,08,07,14,24,19,00107
7780931,2,2000,11,15,08,19,18,00230
7780931,3,2001,03,05,20,08,25,00387
7780931,2,2001,10,31,06,05,19,00093
7780931,2,2001,12,09,05,08,16,00289
7780931,B,2001,12,09,05,29,50,06406
7780931,3,2001,12,09,05,31,31,00968
7780931,3,2001,12,09,05,33,26,00445
7780931,3,2001,12,10,14,05,28,00656
7780931,2,2002,02,20,11,48,16,00319
7780931,2,2002,03,01,02,07,16,00195
7780931,2,2002,04,16,23,56,17,00190
7780931,2,2002,07,15,17,24,24,00195
7780931,2,2002,12,28,13,06,18,00275
7780931,2,2003,07,10,02,16,16,00087
7780931,2,2003,11,18,10,36,19,00198
7780931,2,2005,01,28,11,07,19,00249
7780931,3,2006,11,18,03,01,27,00298
7780931,2,2007,03,28,22,12,17,00136
7780931,2,2007,04,21,04,38,17,00080
7780931,2,2007,04,30,05,41,22,00227
7780931,2,2007,09,07,23,36,23,00231
7780931,1,2008,04,15,04,45,05,00060
7780931,1,2008,07,06,22,31,06,00064
7780931,2,2008,07,08,16,42,15,00061
7780931,1,2008,07,28,22,23,06,00060
7780931,2,2008,08,07,22,16,15,00132
7780931,1,2009,03,03,19,27,12,00128
7780931,2,2009,03,05,03,13,16,00162
7780931,1,2009,03,13,02,14,10,00087
7780931,1,2009,03,13,11,02,14,00071
7780931,1,2009,03,27,04,21,08,00030
7780931,1,2009,05,13,03,15,10,00103
7780931,2,2009,07,24,18,43,23,00382
7780931,1,2009,08,25,12,18,06,00114
7780931,1,2009,09,03,22,27,14,00075
7780931,1,2009,09,04,11,29,06,00033
7780931,1,2009,09,23,17,58,07,00050
7780931,1,2009,09,26,15,06,07,00055
7780931,1,2009,10,01,10,48,07,00036
7780931,3,2009,12,12,22,50,29,00849
7780931,2,2009,12,17,11,14,20,00176
7780931,1,2009,12,24,01,25,06,00054
7780931,2,2010,01,07,16,11,21,00140
7780931,1,2010,01,15,15,17,05,00052
7780931,2,2010,01,15,16,14,21,00265
7780931,2,2010,01,15,16,35,18,00223
7780931,1,2010,01,15,17,46,11,00098
7780931,2,2010,01,15,21,54,20,00227
7780931,1,2010,01,15,22,10,06,00045
7780931,2,2010,02,27,05,32,21,00143
7780931,1,2010,05,26,17,54,12,00040
7780931,2,2010,06,06,09,07,19,00220
7780931,1,2011,02,09,05,05,13,00156
7780931,2,2011,03,07,19,13,17,00100
7780931,1,2011,03,16,01,18,12,00062
7780931,1,2011,03,24,07,27,13,00087
7780931,2,2011,03,26,02,54,19,00157
7780931,1,2011,04,09,21,59,10,00043
7780931,1,2011,04,21,07,10,09,00095
