station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
5311700,1,1997,01,08,22,36,09,00050
5311700,1,1997,03,16,14,52,13,00025
5311700,1,1997,05,13,13,19,05,00035
5311700,2,1997,06,12,10,24,15,00092
5311700,1,1997,06,25,18,51,13,00024
5311700,1,1997,09,04,05,13,07,00025
5311700,1,1997,09,04,05,16,11,00038
5311700,2,1997,09,07,02,19,17,00078
5311700,1,1997,09,17,16,56,07,00055
5311700,1,1997,10,24,02,18,09,00109
5311700,2,1997,11,05,04,22,17,00207
5311700,1,1998,03,04,06,02,07,00041
5311700,2,1998,04,22,20,33,19,00103
5311700,1,1998,05,23,04,50,05,00015
5311700,1,1998,06,26,15,42,08,00083
5311700,2,1999,02,12,03,16,16,00107
5311700,1,1999,03,12,23,24,05,00037
5311700,2,1999,03,16,16,43,15,00056
5311700,2,1999,04,17,17,31,18,00141
5311700,1,1999,05,18,10,21,11,00075
5311700,1,1999,06,06,16,49,12,00069
5311700,1,1999,06,14,04,42,08,00042
5311700,1,1999,06,16,09,10,08,00116
5311700,1,1999,07,15,19,25,14,00083
5311700,2,1999,08,02,04,58,15,00106
5311700,2,1999,08,21,05,33,21,00099
5311700,2,1999,11,07,03,34,16,00066
5311700,1,2000,01,28,03,44,05,00040
5311700,1,2000,03,18,11,08,07,00053
5311700,2,2000,05,16,04,09,24,00290
5311700,1,2000,05,16,05,43,10,00055
5311700,1,2000,06,05,09,55,11,00040
5311700,1,2000,06,07,06,17,08,00025
5311700,2,2000,08,27,13,13,17,00115
5311700,3,2000,10,06,13,30,33,00416
5311700,1,2000,10,07,05,00,07,00024
5311700,1,2000,10,08,13,18,05,00021
5311700,1,2000,10,08,20,51,06,00023
5311700,2,2000,10,31,01,43,16,00053
5311700,2,2001,01,12,08,00,19,00138
5311700,1,2001,01,14,08,55,05,00025
5311700,1,2001,01,20,05,18,05,00026
5311700,1,2001,01,20,05,20,09,00035
5311700,1,2001,01,20,05,27,09,00038
5311700,1,2001,01,20,06,25,08,00044
5311700,1,2001,01,20,07,06,06,00030
5311700,1,2001,01,20,07,24,09,00042
5311700,1,2001,01,25,19,45,08,00025
5311700,1,2001,02,11,09,18,09,00034
5311700,2,2001,03,24,15,28,20,00134
5311700,1,2001,05,06,05,48,12,00075
5311700,3,2001,08,25,22,21,28,00211
5311700,1,2002,03,21,13,51,05,00107
5311700,1,2002,09,16,10,11,09,00032
5311700,2,2003,02,06,02,37,17,00129
5311700,1,2003,05,31,04,37,09,00069
5311700,2,2003,10,08,23,35,17,00253
5311700,1,2003,12,13,12,32,13,00100
5311700,1,2003,12,22,06,21,06,00070
5311700,1,2003,12,23,14,35,11,00043
5311700,1,2004,01,06,14,51,06,00024
5311700,2,2004,07,12,21,45,19,00175
5311700,3,2004,09,05,19,07,29,00232
5311700,3,2004,09,05,23,58,28,00202
5311700,2,2004,09,07,08,30,16,00051
5311700,1,2004,09,08,03,37,05,00015
5311700,1,2004,09,13,01,25,06,00041
5311700,1,2004,10,05,08,34,09,00036
5311700,2,2004,10,18,11,48,15,00209
5311700,1,2004,12,01,23,30,06,00036
5311700,2,2005,02,14,00,22,17,00250
5311700,1,2005,03,20,10,55,14,00023
5311700,1,2005,06,20,14,05,06,00021
5311700,1,2005,07,03,02,49,12,00060
5311700,1,2006,02,16,23,11,07,00022
5311700,1,2006,03,26,10,47,14,00145
5311700,1,2006,05,15,01,42,09,00038
5311700,1,2006,06,12,05,02,12,00028
5311700,1,2006,10,08,09,56,07,00088
5311700,1,2006,11,03,06,24,06,00044
5311700,1,2007,01,22,02,16,08,00024
5311700,1,2007,03,25,09,42,11,00037
5311700,2,2007,04,15,12,19,15,00049
5311700,1,2007,04,26,09,03,14,00038
5311700,1,2007,07,16,10,15,08,00010
5311700,1,2007,08,24,07,09,07,00067
5311700,1,2007,08,24,21,01,08,00058
5311700,1,2007,08,31,23,37,05,00025
5311700,1,2007,11,06,10,02,11,00069
5311700,2,2008,04,17,00,58,15,00140
5311700,1,2008,04,18,04,11,14,00171
5311700,1,2008,06,01,03,17,12,00083
5311700,1,2008,06,03,03,52,11,00105
5311700,1,2008,06,03,03,57,07,00043
5311700,1,2008,08,06,06,26,08,00033
5311700,1,2008,08,21,17,48,07,00037
5311700,1,2008,08,30,18,28,05,00026
5311700,2,2009,02,18,06,47,20,00127
5311700,1,2009,03,08,06,02,10,00067
5311700,1,2009,08,11,05,08,11,00017
5311700,1,2009,09,19,01,46,05,00033
5311700,1,2009,10,25,05,50,09,00045
5311700,1,2010,03,07,22,35,09,00095
5311700,1,2010,07,21,06,19,12,00051
5311700,1,2011,01,28,22,49,08,00064
5311700,1,2011,02,21,15,46,05,00028
5311700,1,2011,02,27,05,39,06,00013
5311700,2,2011,03,11,14,50,18,00041
5311700,2,2011,07,05,19,19,18,00071
5311700,1,2011,10,09,16,18,06,00039
5311700,1,2011,11,18,03,58,09,00031
5311700,1,2011,11,21,19,17,11,00041
5311700,1,2012,01,09,00,37,06,00026
5311700,1,2012,07,28,00,04,06,00072
5311700,4,2013,04,13,05,33,37,01241
5311700,1,2013,04,13,05,41,05,00032
5311700,1,2013,04,27,08,06,06,00037
5311700,2,2013,07,17,12,07,16,00107
5311700,1,2013,11,20,10,17,05,00031
5311700,1,2013,11,20,10,58,11,00047
5311700,2,2014,03,14,02,07,18,00073
5311700,1,2014,04,11,07,43,07,00040
