code_prime,address,codes_ordered,lat,lon,datetime_b_s,datetime_e_s
1000000,石狩市花川,[1000000],4310,14119,['1996-04-01 12:00:00'],['2022-01-01 00:00:00']
1000001,石狩市聚富,[1000001],4317,14125,['2012-10-02 12:00:00'],['2022-01-01 00:00:00']
1000020,石狩市厚田,[1000020],4324,14126,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1000021,石狩市浜益,[1000021],4336,14123,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1000022,石狩市花畔,[1000022],4310,14118,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
1000120,当別町白樺,[1000120],4313,14131,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1000230,新篠津村第４７線,"[1000230, 1000231]",4314,14139,"['2002-07-29 12:00:00', '2011-05-12 13:00:00']","['2011-05-12 13:00:00', '2022-01-01 00:00:00']"
1010000,札幌中央区北２条,[1010000],4304,14120,['1876-01-01 00:00:00'],['2022-01-01 00:00:00']
1010040,札幌中央区南４条,[1010040],4303,14121,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010120,札幌北区太平,[1010120],4308,14121,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1010140,札幌北区篠路,[1010140],4309,14121,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010141,札幌北区新琴似,[1010141],4307,14120,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010240,札幌東区元町,"[1010240, 1010241]",4306,14122,"['2011-01-06 12:00:00', '2013-06-11 12:00:00']","['2013-06-11 12:00:00', '2022-01-01 00:00:00']"
1010330,札幌白石区本郷通,[1010330],4303,14124,['2002-07-29 12:00:00'],['2011-05-12 13:00:00']
1010340,札幌白石区北郷,"[1010340, 1010341]",4303,14125,"['2011-01-06 12:00:00', '2020-03-30 12:00:00']","['2020-03-30 12:00:00', '2022-01-01 00:00:00']"
1010440,札幌豊平区月寒東,[1010440],4302,14124,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010520,札幌南区定山渓温泉,"[1010520, 1010521]",4258,14110,"['2006-03-01 12:00:00', '2022-04-22 12:00:00']","['2022-04-22 12:00:00', '2022-01-01 00:00:00']"
1010540,札幌南区真駒内,[1010540],4259,14121,['2011-01-06 12:00:00'],['2018-02-22 12:00:00']
1010541,札幌南区簾舞,[1010541],4258,14115,['2011-01-06 12:00:00'],['2018-02-21 12:00:00']
1010542,札幌南区川沿,[1010542],4300,14120,['2018-02-22 12:00:00'],['2022-01-01 00:00:00']
1010543,札幌南区石山,[1010543],4258,14120,['2018-02-21 12:00:00'],['2022-01-01 00:00:00']
1010640,札幌西区琴似,[1010640],4304,14118,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010740,札幌厚別区もみじ台,[1010740],4302,14130,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010840,札幌手稲区前田,[1010840],4307,14116,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1010900,江別市高砂町,[1010900],4306,14132,['1996-04-01 12:00:00'],['2022-01-01 00:00:00']
1010920,江別市緑町,[1010920],4307,14133,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1011040,札幌清田区平岡,[1011040],4300,14127,['2011-01-06 12:00:00'],['2022-01-01 00:00:00']
1020000,千歳市北栄,[1020000],4250,14138,['1996-04-01 12:00:00'],['2022-01-01 00:00:00']
1020001,新千歳空港,[1020001],4247,14141,['2007-07-02 12:00:00'],['2022-01-01 00:00:00']
1020020,千歳市若草,[1020020],4247,14136,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1020021,千歳市支笏湖温泉,[1020021],4247,14124,['2006-06-20 12:00:00'],['2022-01-01 00:00:00']
1020100,恵庭市漁平,[1020100],4251,14127,['1994-07-15 12:00:00'],['2022-01-01 00:00:00']
1020130,恵庭市京町,[1020130],4253,14135,['2002-07-29 12:00:00'],['2022-01-01 00:00:00']
1020220,北広島市共栄,[1020220],4300,14133,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1050000,八雲町大新,[1050000],4212,14015,['1994-07-15 12:00:00'],['1998-02-09 11:00:00']
1050001,八雲町上の湯,[1050001],4207,14022,['1998-02-09 11:00:00'],['2022-01-01 00:00:00']
1050020,八雲町住初町,[1050020],4216,14016,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
1050021,八雲町熊石雲石町,[1050021],4208,13959,['2006-03-01 12:00:00'],['2022-01-01 00:00:00']
