station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
3403420,1,2006,06,28,09,40,56. ,06,00031
3403420,1,2006,07,06,15,17,39. ,09,00069
3403420,1,2006,07,09,09,06,40. ,05,00037
3403420,1,2006,08,01,22,12,03. ,10,00062
3403420,1,2006,08,31,17,18,32. ,14,00083
3403420,1,2006,09,07,03,06,43. ,13,00043
3403420,1,2006,09,07,10,57,51. ,13,00058
3403420,2,2006,10,14,06,38,20. ,17,00064
3403420,1,2006,11,09,06,07,02. ,05,00082
3403420,2,2006,12,04,06,08,43. ,22,00248
3403420,1,2006,12,31,08,30,34. ,13,00057
3403420,1,2007,01,05,06,41,29. ,07,00040
3403420,1,2007,01,09,13,18,18. ,05,00026
3403420,1,2007,01,13,13,30,30. ,08,00019
3403420,1,2007,01,16,03,18,54. ,13,00048
3403420,1,2007,03,03,18,26,30. ,05,00027
3403420,2,2007,03,14,22,39,57. ,15,00077
3403420,1,2007,03,22,10,29,10. ,09,00065
3403420,1,2007,04,03,09,54,53. ,07,00066
3403420,1,2007,04,14,05,42,56. ,11,00045
3403420,1,2007,05,08,21,01,48. ,10,00070
3403420,1,2007,05,13,14,41,12. ,06,00028
3403420,1,2007,06,01,07,29,24. ,07,00041
3403420,2,2007,06,02,14,43,26. ,21,00218
3403420,1,2007,06,23,23,53,11. ,11,00065
3403420,2,2007,07,03,23,31,22. ,16,00078
3403420,3,2007,07,16,10,14,08. ,28,00100
3403420,1,2007,07,16,10,17,00. ,12,00016
3403420,1,2007,07,16,15,38,53. ,08,00014
3403420,1,2007,07,16,23,18,53. ,13,00079
3403420,1,2007,07,21,16,36,34. ,09,00037
3403420,1,2007,08,01,17,18,00. ,06,00025
3403420,1,2007,08,04,09,22,42. ,05,00030
3403420,2,2007,08,16,04,15,16. ,24,00163
3403420,1,2007,08,16,07,48,01. ,06,00027
3403420,1,2007,08,16,08,20,45. ,12,00059
3403420,1,2007,08,16,09,22,22. ,11,00048
3403420,1,2007,08,18,04,14,56. ,11,00059
3403420,1,2007,08,18,13,36,57. ,08,00034
3403420,2,2007,08,18,16,55,20. ,20,00157
3403420,1,2007,08,18,17,07,16. ,07,00036
3403420,1,2007,08,29,22,38,48. ,08,00062
3403420,1,2007,09,21,07,54,58. ,09,00018
3403420,1,2007,10,07,22,36,14. ,13,00063
3403420,1,2007,10,17,22,33,42. ,05,00046
3403420,1,2007,11,11,19,49,05. ,08,00071
3403420,1,2007,11,26,22,52,27. ,12,00045
3403420,1,2007,11,27,08,06,07. ,06,00046
3403420,2,2007,11,30,18,37,11. ,19,00155
3403420,1,2007,12,02,09,24,50. ,11,00098
3403420,1,2007,12,25,23,05,59. ,05,00023
3403420,1,2008,01,16,02,56,06. ,09,00043
3403420,1,2008,02,09,07,07,38. ,11,00041
3403420,1,2008,03,02,18,33,56. ,09,00055
3403420,2,2008,03,08,01,55,11. ,21,00180
3403420,2,2008,03,09,06,13,55. ,19,00212
3403420,2,2008,03,24,12,40,53. ,15,00056
3403420,1,2008,03,24,22,30,32. ,06,00028
