A2002010105193693 004 362491 016 1380306 018  79508032V   5112  4145í∑ñÏåßíÜïî               13K
4203230 010519420 2 19 ///// 00161 N00117 E00156 Z00073 F058F///F058F///F107F///                
4212830 010519410 2 15 ///// 00256 N00141 E00241 Z00091 F051F///F050F///F112F///                
4215230 010519420 2 16 ///// 00430 N00325 E00282 Z00114 F108F///F102F///F067F///                
4200032 010519430 1 14 ///// 00077 N00068 E00052 Z00035 F061F///F059F///F092F///                
4200300 010519416 1 11 19443 00252 N00136 E00238 Z00050 F126F126F126F126F219F219                
4200630 010519440 1 06 ///// 00080 N00048 E00080 Z00052 F091F///F098F///F175F///                
4203231 010519410 1 06 ///// 00143 N00116 E00101 Z00143 F190F///F118F///F190F///                
4203232 010519420 1 07 ///// 00389 N00354 E00366 Z00102 F200F///F231F///F237F///                
4213630 010519400 1 13 ///// 00192 N00135 E00134 Z00082 F041F///F032F///F216F///                
4213830 010519420 1 11 ///// 00185 N00171 E00096 Z00054 F148F///F173F///F077F///                
4215200 010519424 1 14 19447 00073 N00068 E00063 Z00028 F086F086F061F061F087F087                
4215233 010519420 1 11 ///// 00074 N00064 E00060 Z00017 F081F///F100F///F097F///                
4215331 010519400 1 13 ///// 00264 N00189 E00202 Z00079 F038F///F057F///F212F///                
A2002010109335572 006 353212 016 1385878 017 197005932V   5112  4152éRóúåßìåïîÅEïxémå‹åŒ      9K
4120331 010934047 2 16 ///// 00100 N00099 E00060 Z00051 P002P///P002P///P001P///                
3601641 010934143 1 06 34143 00043 N00038 E00024 Z00009 F055P001F043P002F112P000                
3610200 010934061 1 13 34077 00053 N00051 E00036 Z00013 F039F039F039F039F070F196                
4114934 010934081 1 05 ///// 00058 N00028 E00058 Z00018 P002P///P002P///P001P///                
4120230 010934032 1 09 ///// 00132 N00107 E00096 Z00075 P001P///P001P///P001P///                
4120300 010934006 1 10 34050 00039 N00036 E00024 Z00013 F057F057F045F045F093P205                
4120530 010934028 1 07 ///// 00082 N00054 E00063 Z00058 P003P///P001P///P001P///                
4121030 010934066 1 06 ///// 00020 N00019 E00020 Z00013 P003P///P002P///P001P///                
4410830 010934070 1 06 ///// 00040 N00038 E00021 Z00016 F044F///F036F///F056F///                
A2002010208051627 004 351083 012 1330709 015  35709120V   5111  6222ìáç™åßìåïî                1K
5703131 020805180 1 08 ///// 00172 N00143 E00156 Z00061 P001P///P001P///P001P///                
A2002010219365921 032 340301 089 1393433 076  11017619V   5112  3104éOëÓìáãﬂäC                2K
3570000 021937011 2 15 37024 00083 N00072 E00037 Z00071 F051F051F052F052F077F077                
3570010 021937014 1 12 37028 00089 N00075 E00062 Z00052 F071F071F077F077F083F083                
A200201022008     99  3407   99  13932   99   0            8 1      è⁄ç◊ïsñæ                  1N
3570000 022008423 1 05 08445 00017 N00016 E00012 Z00005 F047F047F041F041F025F065                
A200201022034     99  3407   99  13932   99   0            8 1      è⁄ç◊ïsñæ                  1N
3570000 022034592 1 05 35020 00014 N00013 E00013 Z00006 F041F041F040F040F028F078                
A200201022036     99  3407   99  13932   99   0            8 1      è⁄ç◊ïsñæ                  1N
3570000 022036595 1 05 36598 00015 N00014 E00013 Z00005 F046F047F028F028F066F077                
A2002010223372826 013 245808 076 1251306 027 207809433V   5111  7293ã{å√ìáãﬂäC                1K
8040600 022337353 1 05 37370 00043 N00037 E00034 Z00022 F078F078F111F258F122F258                
A2002010300122825 005 342694 015 1391127 024 133007423V   5111  3103êVìáÅEê_í√ìáãﬂäC          3K
3560010 030012343 1 06 12347 00027 N00025 E00016 Z00008 F051F051F045F045F070F128                
3560112 030012347 1 06 12351 00033 N00026 E00031 Z00012 F054F054F055F055F054F346                
3560130 030012330 1 06 12340 00039 N00033 E00027 Z00034 P001P///P001P///P001P///                
A2002010303125355 013 394286 033 1420449 080 855710138V   5111  2 62ä‚éËåßâ´                  7K
2021500 030313198 1 06 13192 00041 N00041 E00025 Z00030 F070F070F074F125F062F078                
2021832 030313270 1 07 ///// 00068 N///// E///// Z///// P///P///P///P///P///P///                
2021930 030313250 1 07 ///// 00090 N///// E///// Z///// P///P///P///P///P///P///                
2100000 030313148 1 11 13154 00070 N00068 E00050 Z00032 F067F067F066F066F068F068                
2100100 030313100 1 07 13190 00050 N00047 E00036 Z00019 F073F073F073F073F106F110                
2100600 030313158 1 08 13160 00069 N00056 E00062 Z00038 F104F104F086F086F129F116                
2110200 030313078 1 05 13179 00084 N00074 E00063 Z00027 F172F172F155F155F193P205                
A2002010305434094 003 363686 012 1391715 016  94608028V   5112  3 83åQînåßñkïî                3K
3200830 030543474 2 16 ///// 00224 N00182 E00203 Z00031 P001P///P001P///P001P///                
3200032 030543457 1 13 ///// 00137 N00079 E00120 Z00087 P001P///P001P///P001P///                
3200700 030543470 1 11 43471 00173 N00156 E00158 Z00063 F109F109F111F111F223P205                
A2002010316392306 007 341668 022 1391443 043  85309420V   5111  3103êVìáÅEê_í√ìáãﬂäC          1K
3560112 031639253 1 09 39254 00049 N00033 E00034 Z00048 F066F066F068F068F123F123                
A2002010323383150 006 341652 019 1391420 034 101507529V   5113  3103êVìáÅEê_í√ìáãﬂäC          5K
3560112 032338337 3 25 38359 00251 N00174 E00204 Z00177 F056F056F074F074F055F055                
3560111 032338343 2 16 38378 00105 N00098 E00086 Z00068 F067F067F054F054F052F052                
3560130 032338340 2 20 38370 00136 N00113 E00110 Z00099 P002P///P003P///P002P///                
3540000 032338349 1 11 38397 00047 N00034 E00042 Z00028 F078F045F050F050F050F050                
3540030 032338340 1 13 38400 00039 N00029 E00036 Z00034 P005P///P006P///P002P///                
A2002010402571895 007 341665 022 1391416 038  98307620V   5111  3103êVìáÅEê_í√ìáãﬂäC          2K
3560112 040257212 1 08 57231 00065 N00045 E00044 Z00036 F045F045F076F076F124F124                
3560130 040257230 1 06 57240 00026 N00020 E00020 Z00025 P002P///P002P///P009P///                
A2002010403181578 014 363654 033 1410061 080 474014334V   5111  3111àÔèÈåßâ´                  1K
3000000 040318354 1 05 18357 00042 N00018 E00040 Z00024 F080F147F086F086F112F164                
A2002010404470982 010 335226 040 1392728 043 184908429V   5111  3104éOëÓìáãﬂäC                1K
3570110 040447145 1 06 47180 00026 N00019 E00024 Z00017 F058F058F070F070F096F081                
A2002010411050312 003 350777 009 1354642 013 132705034V   5113  5183ãûìsï{ìÏïî               20K
5110730 041105072 3 27 05082 00374 N00182 E00372 Z00066 P001P///P002P///P001P///                
5010001 041105069 2 15 05098 00161 N00098 E00157 Z00063 F142F142F104F048F059F059                
5010430 041105073 2 15 ///// 00098 N00080 E00062 Z00052 P001P///P002P///P002P///                
4010600 041105169 1 06 05170 00028 N00026 E00017 Z00012 F038F038F039F039F063F051                
5010000 041105096 1 07 05099 00031 N00028 E00026 Z00025 F038F058F040F040F064F064                
5010030 041105090 1 14 ///// 00119 N00111 E00118 Z00043 P001P///P001P///P003P///                
5010031 041105120 1 06 ///// 00045 N00037 E00034 Z00014 P002P///P002P///P003P///                
5010100 041105090 1 08 05097 00046 N00039 E00033 Z00037 F082F081F083F083F118F069                
5010330 041105113 1 07 ///// 00071 N00045 E00055 Z00030 P002P///P002P///P001P///                
5010530 041105106 1 09 ///// 00072 N00051 E00069 Z00025 P003P///P002P///P002P///                
5012130 041105069 1 13 ///// 00131 N00081 E00074 Z00130 P002P///P002P///P001P///                
5012230 041105117 1 08 ///// 00056 N00030 E00053 Z00017 P002P///P002P///P002P///                
5012231 041105087 1 08 ///// 00086 N00076 E00072 Z00056 P001P///P002P///P001P///                
5012333 041105145 1 07 ///// 00070 N00068 E00056 Z00022 P002P///P002P///P001P///                
5110130 041105067 1 07 05084 00083 N00068 E00080 Z00030 P001P///P001P///P001P///                
5110300 041105064 1 08 05089 00038 N00032 E00030 Z00023 F040F040F045F047F198P205                
5111200 041105079 1 09 05110 00062 N00056 E00038 Z00025 F093F093F067F067F119F119                
5113630 041105096 1 12 05095 00133 N00083 E00121 Z00027 P001P///P001P///P002P///                
5204130 041105125 1 06 05129 00041 N00028 E00040 Z00031 P004P004P003P003P004P004                
5204230 041105098 1 05 05145 00052 N00029 E00044 Z00041 P001P001P001P001P001P001                
A2002010412085356 003 335665 008 1353782 011 113404934V   5113  5193ìﬁó«åß                   11K
5510160 041209030 3 25 ///// 00955 N00933 E00332 Z00133 F088P///F109P///F137P///                
5404330 041208595 2 15 09033 00178 N00086 E00160 Z00079 P002P002P002P002P001P000                
5510032 041209000 2 19 ///// 00304 N00164 E00285 Z00096 F093P///F081P///F142P///                
4620131 041209025 1 05 ///// 00193 N00189 E00106 Z00031 P002P001P002P001P003P002                
4620930 041209064 1 08 ///// 00086 N00063 E00074 Z00030 P002P001P003P001P002P001                
5403430 041209097 1 06 09122 00099 N00099 E00032 Z00019 P001P001P001P205P001P000                
5404230 041208558 1 06 08582 00321 N00199 E00273 Z00095 P001P001P001P001P001P000                
5404830 041209138 1 05 09146 00045 N00043 E00028 Z00015 P002P002P002P001P002P001                
5503633 041209070 1 06 ///// 00074 N00033 E00073 Z00023 F085P///F072P///F073P///                
5503730 041209050 1 08 ///// 00069 N00034 E00066 Z00014 F074P///F075P///F084P///                
5510100 041209022 1 14 09071 00104 N00093 E00061 Z00045 F093F093F035F035F090F090                
A2002010413112395 004 335683 010 1353761 013 113306025V   5111  5193ìﬁó«åß                    1K
5510160 041311330 1 06 ///// 00165 N00156 E00095 Z00033 F093P///F110P///F183P///                
A2002010413185668 004 335679 010 1353796 013 117005737D39V5113  5193ìﬁó«åß                   32K
5510160 041319060 3 27 ///// 01353 N01257 E00585 Z00233 F088P///F122P///F195P///                
5404330 041319024 2 19 19070 00238 N00145 E00194 Z00103 P002P002P002P002P001P001                
5510032 041319030 2 24 ///// 00531 N00421 E00470 Z00209 F087P///F080P///F141P///                
5510100 041319049 2 15 19105 00146 N00139 E00075 Z00075 F091F091F123F123F090F090                
4620130 041319100 1 07 ///// 00064 N00050 E00047 Z00025 P001P001P001P001P003P001                
4620131 041319056 1 13 ///// 00369 N00366 E00222 Z00034 P001P001P002P001P003P001                
4620831 041319093 1 05 ///// 00120 N00106 E00079 Z00053 P002P001P001P001P003P001                
4620930 041319091 1 06 ///// 00093 N00072 E00055 Z00052 P002P001P003P001P002P001                
4620931 041319107 1 05 ///// 00045 N00034 E00038 Z00022 P004P001P004P001P002P001                
4621431 041319141 1 07 ///// 00057 N00047 E00044 Z00020 P001P001P002P001P029P002                
5400500 041319091 1 07 19173 00044 N00044 E00033 Z00010 F059F059F058F058F116P205                
5402430 041319109 1 09 19202 00092 N00090 E00091 Z00031 P002P002P003P003P002P205                
5402530 041319112 1 05 19208 00104 N00091 E00085 Z00039 P001P001P001P001P003P000                
5403230 041319102 1 06 19186 00029 N00023 E00020 Z00007 P002P002P002P002P002P001                
5403430 041319078 1 08 19151 00127 N00126 E00064 Z00030 P001P001P001P001P001P000                
5403730 041319079 1 07 19127 00092 N00088 E00064 Z00033 P001P001P001P001P001P000                
5403930 041319051 1 05 19087 00124 N00114 E00121 Z00045 P001P001P001P001P001P000                
5404230 041318589 1 14 19014 00405 N00243 E00381 Z00137 P001P001P001P001P001P001                
5404830 041319159 1 10 19176 00074 N00070 E00065 Z00024 P002P002P003P003P002P001                
5500231 041319100 1 06 ///// 00052 N00039 E00044 Z00022 F046P///F069P///F052P///                
5501430 041319100 1 06 ///// 00061 N00042 E00060 Z00019 F050P///F046P///F149P///                
5501700 041319063 1 07 19067 00084 N00063 E00070 Z00031 F063F063F166F166F165F125                
5502630 041319130 1 05 ///// 00053 N00047 E00026 Z00016 F084P///F106P///F225P///                
5503430 041319080 1 05 ///// 00025 N00019 E00020 Z00019 F050P///F054P///F065P///                
5503530 041319100 1 11 ///// 00042 N00042 E00034 Z00022 F038P///F037P///F113P///                
5503532 041319050 1 07 ///// 00098 N00086 E00079 Z00038 F194P///F234P///F096P///                
5503631 041319100 1 06 ///// 00040 N00039 E00031 Z00014 F052P///F038P///F234P///                
5503633 041319100 1 06 ///// 00067 N00025 E00067 Z00023 F079P///F079P///F071P///                
5503660 041319100 1 06 ///// 00064 N00029 E00064 Z00035 F072P///F074P///F176P///                
5503730 041319080 1 07 ///// 00083 N00045 E00082 Z00026 F119P///F066P///F160P///                
5510030 041319040 1 11 ///// 00140 N00139 E00078 Z00058 F127P///F116P///F142P///                
5511530 041319070 1 07 ///// 00119 N00107 E00087 Z00081 F115P///F097P///F235P///                
A2002010413205099 004 335675 011 1353813 014 114206429V   5111  5193ìﬁó«åß                    3K
5404330 041320568 1 07 21122 00055 N00038 E00053 Z00027 P002P002P002P002P001P001                
5510032 041320570 1 09 ///// 00104 N00071 E00099 Z00048 F247P///F178P///F189P///                
5510160 041321000 1 12 ///// 00291 N00258 E00136 Z00056 F090P///F122P///F174P///                
B2002010413564698 003 335651 009 1353807 012 112005330V   5112  5193ìﬁó«åß                    5K
B2002010413563420 003 335666 009 1353809 012 111105223V   511   5193ìﬁó«åß                     K
5404330 041356436 2 15 56566 00215 N00126 E00208 Z00075 P001P001P002P002P001P001                
5510032 041356530 2 16 ///// 00231 N00181 E00204 Z00102 F096P///F093P///F145P///                
5510160 041356560 2 24 ///// 00659 N00657 E00342 Z00097 F090P///F109P///F153P///                
5404230 041356491 1 06 56515 00206 N00137 E00190 Z00072 P001P001P001P001P001P001                
5510100 041356596 1 08 57003 00074 N00071 E00035 Z00035 F092F092F099F099F090F090                
B2002010413575066 003 335670 010 1353809 012 112905328V   5111  5193ìﬁó«åß                    3K
B2002010413573571 003 335662 010 1353806 012 110605627V   511   5193ìﬁó«åß                     K
5404330 041357450 1 07 58001 00075 N00054 E00073 Z00041 P001P001P002P002P001P001                
5510032 041357570 1 05 ///// 00113 N00096 E00080 Z00053 F161P///F181P///F181P///                
5510160 041357500 1 12 ///// 00202 N00196 E00123 Z00059 F089P///F174P///F174P///                
A2002010414001077 012 345942 036 1381769 046 161918435V   5112  4157ê√â™åßíÜïî               31K
4420230 041400190 2 17 ///// 00245 N00188 E00213 Z00037 F062F///F043F///F049F///                
4420432 041400170 2 15 ///// 00148 N00146 E00064 Z00050 F072F///F069F///F074F///                
4421800 041400142 2 24 00173 00337 N00278 E00248 Z00111 F062F062F077F077F079F079                
4421900 041400144 2 20 00175 00244 N00233 E00226 Z00060 F029F029F052F052F084F084                
4421931 041400170 2 16 ///// 00157 N00139 E00077 Z00036 F062F///F023F///F057F///                
4112532 041400321 1 08 ///// 00025 N00014 E00023 Z00007 P003P///P003P///P002P///                
4112630 041400263 1 09 ///// 00035 N00023 E00029 Z00013 P002P///P003P///P002P///                
4410332 041400280 1 05 ///// 00011 N00009 E00011 Z00003 F025F///F015F///F020F///                
4420200 041400151 1 12 00183 00147 N00131 E00092 Z00028 F128F128F100F100F035F035                
4420270 041400150 1 12 00184 00069 N00036 E00059 Z00020 F040F040F032F032F082F309                
4420330 041400180 1 09 ///// 00059 N00050 E00042 Z00017 F095F///F080F///F169F///                
4420331 041400190 1 13 ///// 00066 N00062 E00049 Z00019 F064F///F031F///F081F///                
4420430 041400189 1 10 ///// 00089 N00045 E00079 Z00022 F030F///F034F///F046F///                
4420431 041400180 1 14 ///// 00141 N00085 E00136 Z00033 F028F///F052F///F056F///                
4421330 041400240 1 06 ///// 00034 N00018 E00034 Z00011 F024F///F030F///F151F///                
4421830 041400184 1 13 ///// 00043 N00030 E00043 Z00020 F022F///F022F///F021F///                
4421930 041400188 1 13 ///// 00110 N00091 E00067 Z00023 F066F///F024F///F063F///                
4422000 041400100 1 09 00214 00021 N00020 E00021 Z00011 F019F019F024F024F029F029                
4422030 041400200 1 06 ///// 00017 N00016 E00014 Z00010 F023F///F015F///F037F///                
4422031 041400290 1 07 ///// 00026 N00014 E00023 Z00009 F057F///F047F///F028F///                
4422130 041400210 1 09 ///// 00096 N00095 E00046 Z00021 F047F///F040F///F185F///                
4422131 041400190 1 13 ///// 00145 N00092 E00123 Z00030 F052F///F061F///F124F///                
4422230 041400300 1 06 ///// 00019 N00013 E00015 Z00009 F014F///F078F///F031F///                
4422240 041400250 1 08 ///// 00020 N00015 E00018 Z00013 F025F///F024F///F028F///                
4430135 041400230 1 09 ///// 00031 N00024 E00028 Z00009 F039F///F039F///F058F///                
4430240 041400230 1 08 ///// 00053 N00043 E00048 Z00023 F086F///F079F///F115F///                
4430300 041400248 1 07 00250 00030 N00018 E00028 Z00007 F031F031F034F034F097F097                
4430330 041400270 1 07 ///// 00018 N00018 E00013 Z00005 F015F///F018F///F033F///                
4431230 041400230 1 11 ///// 00069 N00030 E00069 Z00009 F064F///F037F///F041F///                
4432931 041400240 1 05 ///// 00033 N00021 E00033 Z00008 F096F///F092F///F060F///                
4433660 041400230 1 08 ///// 00052 N00043 E00037 Z00019 F085F///F070F///F075F///                
A2002010414120425 003 335754 009 1353804 012 114705229V   5111  5193òaâÃéRåßìÏïî              3K
5404330 041412135 1 06 12138 00046 N00037 E00046 Z00024 P002P002P002P002P001P001                
5510032 041412110 1 11 ///// 00123 N00114 E00095 Z00067 F086P///F094P///F142P///                
5510160 041412140 1 11 ///// 00254 N00222 E00132 Z00059 F089P///F118P///F205P///                
A2002010414163907 003 335657 009 1353776 012 113705128V   5111  5193ìﬁó«åß                    1K
5510160 041416480 1 08 ///// 00138 N00138 E00063 Z00024 F091P///F110P///F208P///                
A2002010414213237 003 335703 009 1353829 012 112605127V   5111  5193òaâÃéRåßìÏïî              1K
5510160 041421410 1 07 ///// 00164 N00162 E00089 Z00035 F158P///F121P///F157P///                
A2002010415411264 004 335750 011 1353822 014 113606333V   5111  5193òaâÃéRåßìÏïî              4K
5404330 041541183 1 10 41223 00071 N00056 E00062 Z00033 P002P002P002P002P001P000                
5510032 041541190 1 13 ///// 00146 N00137 E00112 Z00061 F086P///F094P///F139P///                
5510100 041541215 1 05 41261 00037 N00029 E00022 Z00020 F096F096F037F037F077F110                
5510160 041541220 1 12 ///// 00254 N00247 E00109 Z00063 F088P///F117P///F186P///                
A2002010416335503 004 335740 011 1353828 013 117405941D39V5113  5193òaâÃéRåßìÏïî             31K
5510032 041633590 3 25 ///// 00424 N00388 E00253 Z00130 F085P///F075P///F065P///                
5404330 041634007 2 15 34047 00256 N00154 E00243 Z00077 P001P001P001P001P001P001                
5503530 041634080 2 16 ///// 00067 N00062 E00051 Z00023 F038P///F036P///F100P///                
5510030 041634020 2 18 ///// 00447 N00275 E00417 Z00150 F117P///F106P///F204P///                
5510100 041634031 2 21 34085 00138 N00116 E00106 Z00067 F070F030F036F036F075F075                
5510160 041634040 2 19 ///// 00556 N00469 E00355 Z00170 F189P///F122P///F200P///                
4620130 041634083 1 06 ///// 00057 N00050 E00044 Z00034 P001P001P001P001P003P001                
4620131 041634038 1 08 ///// 00180 N00178 E00104 Z00032 P002P001P002P001P005P004                
4620831 041634075 1 05 ///// 00058 N00055 E00029 Z00044 P002P001P004P001P003P001                
4620930 041634077 1 12 ///// 00060 N00036 E00044 Z00040 P002P004P003P004P002P002                
4620931 041634081 1 10 ///// 00043 N00034 E00031 Z00032 P004P005P005P004P002P004                
5402430 041634179 1 05 34185 00068 N00045 E00062 Z00019 P004P002P001P001P001P205                
5402530 041634096 1 05 34189 00119 N00112 E00109 Z00033 P001P001P001P001P003P000                
5403430 041634059 1 07 34137 00103 N00095 E00059 Z00036 P001P001P001P001P001P000                
5403930 041634031 1 05 34091 00113 N00103 E00104 Z00033 P001P001P001P001P001P000                
5404030 041633586 1 05 34017 00187 N00102 E00185 Z00035 P001P001P001P001P005P000                
5404830 041634074 1 09 34157 00079 N00055 E00070 Z00019 P003P003P003P003P001P001                
5404831 041634153 1 05 34159 00082 N00065 E00056 Z00029 P002P002P003P003P002P003                
5500400 041634035 1 07 34105 00034 N00028 E00025 Z00019 F022F022F122F122F225P205                
