A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
5712420 011633389 2 17 33398 01355 N01094 E00858 Z00336 F104F106F157F156F147F117                
5712430 011633424 2 15 ///// 00267 N00181 E00265 Z00088 P001P///P001P///P001P///                
5712431 011633401 2 15 ///// 00169 N00131 E00111 Z00085 P002P///P001P///P001P///                
5903632 011633423 1 08 ///// 00077 N///// E///// Z///// P///P///P///P///P///P///                
5903633 011633430 1 08 ///// 00104 N///// E///// Z///// P///P///P///P///P///P///                
5903634 011633452 1 08 ///// 00078 N///// E///// Z///// P///P///P///P///P///P///                
5903831 011633415 1 10 ///// 00094 N///// E///// Z///// P///P///P///P///P///P///                
A2006010122174957 010 351092 019 1390628 034 107011317V   5111  3 98ê_ìﬁêÏåßêºïî              1K
4400020 012217530 1 05 17531 00114 N00112 E00088 Z00023 F132F132F118F118F260F260                
A2006010122565445 003 355477 010 1364537 012  95205841D40V5113  4138ïüà‰åßó‰ñk               52K
4000220 012256566 3 25 56582 00914 N00644 E00728 Z00273 F122F112F096F095F176F176                
4000231 012256590 3 26 ///// 00339 N00281 E00244 Z00229 P002P///P003P///P002P///                
4325222 012256566 3 30 56582 01196 N01091 E00885 Z00236 F112F111F106F106F251F252                
4325230 012257011 2 16 ///// 00163 N00159 E00112 Z00050 P002P///P001P///P002P///                
4325232 012256580 2 19 ///// 00152 N00095 E00118 Z00075 P002P///P004P///P003P///                
3812333 012257153 1 08 ///// 00024 N00020 E00024 Z00014 P003P///P004P///P001P///                
3910200 012257051 1 12 57120 00116 N00090 E00100 Z00040 F131F131F076F076F077P205                
3912320 012257102 1 06 57105 00047 N00026 E00046 Z00022 F104F105F091F094F192F192                
3912321 012257049 1 05 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
3912431 012257143 1 06 ///// 00042 N///// E///// Z///// P///P///P///P///P///P///                
4000300 012256596 1 12 57035 00163 N00112 E00159 Z00028 F129F129F136F136F137P205                
4000731 012257090 1 07 ///// 00053 N00052 E00046 Z00024 P001P///P004P///P002P///                
4000732 012257020 1 12 ///// 00054 N00043 E00044 Z00043 P002P///P002P///P001P///                
4002730 012257130 1 11 ///// 00070 N00041 E00069 Z00024 P003P///P003P///P003P///                
4002731 012257140 1 07 ///// 00033 N00029 E00031 Z00013 P003P///P004P///P003P///                
4002920 012257038 1 09 57042 00097 N00061 E00096 Z00057 F106F137F128F126F229F295                
4003000 012257075 1 09 57162 00050 N00038 E00034 Z00022 F074F074F064F064F062F062                
4003032 012257150 1 06 ///// 00036 N00029 E00030 Z00016 P004P///P004P///P001P///                
4300000 012257050 1 05 57118 00028 N00026 E00021 Z00011 F073F073F076F076F099P205                
4300020 012257104 1 07 57105 00043 N00040 E00025 Z00014 F042F042F078F076F238F231                
4300030 012257129 1 05 ///// 00032 N00023 E00027 Z00011 P004P///P004P///P002P///                
4300032 012257023 1 12 ///// 00161 N00139 E00106 Z00022 P002P///P002P///P002P///                
4300033 012257101 1 11 ///// 00057 N00044 E00049 Z00043 P003P///P003P///P003P///                
4300036 012257150 1 09 ///// 00109 N00101 E00046 Z00012 P002P///P002P///P002P///                
4300037 012257108 1 06 ///// 00046 N00039 E00040 Z00013 P001P///P003P///P003P///                
4300930 012257090 1 07 ///// 00036 N00035 E00021 Z00013 P002P///P003P///P002P///                
4302020 012257087 1 11 57087 00073 N00071 E00028 Z00013 F049F049F058F058F108F108                
4302030 012257113 1 10 ///// 00075 N00066 E00070 Z00019 P002P///P001P///P002P///                
4302032 012257138 1 05 ///// 00036 N00031 E00021 Z00016 P001P///P003P///P002P///                
4302133 012257072 1 06 ///// 00041 N00040 E00026 Z00021 P003P///P002P///P002P///                
4310830 012257104 1 07 ///// 00037 N00033 E00033 Z00015 P003P///P002P///P001P///                
4320230 012257098 1 09 ///// 00048 N00031 E00046 Z00018 P003P///P004P///P003P///                
4320231 012257054 1 11 ///// 00081 N00064 E00078 Z00032 P003P///P003P///P002P///                
4320232 012257028 1 06 ///// 00069 N00066 E00050 Z00023 P001P///P001P///P002P///                
4320330 012257077 1 10 ///// 00099 N00065 E00099 Z00041 P003P///P001P///P003P///                
4322120 012257062 1 12 57068 00122 N00101 E00101 Z00045 F086F086F104F105F159F158                
4322130 012257088 1 11 ///// 00080 N00080 E00055 Z00022 P001P///P003P///P002P///                
4322131 012257121 1 10 ///// 00061 N00042 E00059 Z00015 P002P///P002P///P002P///                
4322132 012257087 1 13 ///// 00125 N00123 E00093 Z00052 P001P///P001P///P002P///                
4322133 012257083 1 05 ///// 00057 N00038 E00055 Z00018 P002P///P003P///P002P///                
4322330 012257110 1 09 ///// 00052 N00049 E00028 Z00028 P002P///P003P///P001P///                
4322930 012257109 1 09 ///// 00099 N00086 E00064 Z00017 P002P///P002P///P002P///                
4323620 012257012 1 06 57057 00067 N00066 E00037 Z00017 F118F100F105F106F154F154                
4323630 012257090 1 06 ///// 00018 N00017 E00015 Z00012 P004P///P004P///P004P///                
4323631 012257080 1 10 ///// 00082 N00034 E00082 Z00019 P003P///P003P///P002P///                
4325133 012257053 1 11 ///// 00106 N00072 E00085 Z00026 P001P///P001P///P001P///                
4325200 012257005 1 12 57040 00086 N00059 E00080 Z00033 F063F063F060F060F115F169                
4325220 012256595 1 11 57032 00143 N00139 E00112 Z00056 F120F120F102F102F142F143                
4325236 012257036 1 08 ///// 00073 N00072 E00050 Z00024 P001P///P002P///P002P///                
5000830 012257224 1 05 ///// 00035 N00035 E00033 Z00010 P001P///P002P///P001P///                
