station,from,to,duration,int1,int2,int3,int4,int5,int6,int7,slope,intercept,rvalue,est7,est6p5,est6,latitude,longitude
1000000,1996-04-01,2010-12-31,5387,90.0,33.0,7.0,2.0,0.0,0.0,0.0,-0.609,1.546,-0.998,0.00193,0.00388,0.00782,43.166666666666664,141.31666666666666
1010000,1919-01-01,2010-12-31,33602,506.0,137.0,45.0,7.0,0.0,0.0,0.0,-0.646,1.519,-0.99,0.000995,0.00209,0.0044,43.06666666666667,141.33333333333334
1010900,1996-04-01,2010-12-31,5387,118.0,33.0,4.0,2.0,0.0,0.0,0.0,-0.609,1.465,-0.96,0.0016,0.00322,0.00649,43.1,141.53333333333333
1020000,1996-04-01,2010-12-31,5387,215.0,60.0,15.0,2.0,0.0,0.0,0.0,-0.739,2.132,-0.994,0.000916,0.00214,0.00502,42.833333333333336,141.63333333333333
1020100,1994-07-15,2010-12-31,6013,60.0,17.0,4.0,1.0,0.0,0.0,0.0,-0.615,1.24,-1.0,0.000858,0.00174,0.00354,42.85,141.45
1060000,1919-01-01,2010-12-31,33602,1093.0,354.0,110.0,14.0,1.0,0.0,0.0,-0.854,2.46,-0.986,0.000302,0.000808,0.00216,41.81666666666667,140.75
1060001,1994-07-15,2010-12-31,6013,133.0,22.0,4.0,3.0,0.0,0.0,0.0,-0.433,0.889,-0.925,0.00725,0.0119,0.0196,41.88333333333333,141.03333333333333
1061000,1938-02-01,2010-12-31,26631,499.0,157.0,43.0,7.0,0.0,0.0,0.0,-0.675,1.722,-0.995,0.000986,0.00215,0.00467,42.1,140.56666666666666
1070000,1995-11-25,2010-12-31,5515,105.0,41.0,9.0,1.0,0.0,0.0,0.0,-0.806,2.096,-0.994,0.000283,0.000715,0.00181,41.43333333333333,140.11666666666667
1100000,1941-01-01,2010-12-31,25566,375.0,153.0,45.0,6.0,1.0,0.0,0.0,-0.743,1.909,-0.996,0.000511,0.0012,0.00283,41.86666666666667,140.13333333333333
1150000,1943-01-01,2010-12-31,24836,456.0,159.0,51.0,10.0,1.0,0.0,0.0,-0.731,1.954,-0.988,0.000685,0.00159,0.00369,43.18333333333333,141.01666666666668
1150400,1996-04-01,2010-12-31,5387,54.0,10.0,2.0,1.0,0.0,0.0,0.0,-0.5,0.765,-0.975,0.00184,0.00327,0.00582,43.2,140.78333333333333
1160500,1944-01-01,2010-12-31,24471,310.0,107.0,34.0,6.0,0.0,0.0,0.0,-0.626,1.497,-0.993,0.00131,0.0027,0.00554,42.9,140.75
1170100,1919-01-01,2010-12-31,33602,221.0,92.0,24.0,5.0,1.0,0.0,0.0,-0.657,1.347,-0.999,0.000558,0.00119,0.00253,42.8,140.21666666666667
1190070,1993-07-15,2010-12-31,3714,419.0,140.0,25.0,4.0,1.0,0.0,0.0,-0.723,2.561,-0.998,0.00314,0.00723,0.0166,42.166666666666664,139.51666666666668
1200300,1994-07-15,2010-12-31,6013,59.0,22.0,9.0,3.0,1.0,0.0,0.0,-0.45,1.053,-0.999,0.00795,0.0134,0.0224,43.75,141.71666666666667
1210200,1996-04-01,2010-12-31,5387,51.0,20.0,3.0,2.0,0.0,0.0,0.0,-0.5,1.024,-0.937,0.00334,0.00595,0.0106,43.55,141.91666666666666
1220000,1996-04-01,2010-12-31,5387,51.0,13.0,3.0,1.0,0.0,0.0,0.0,-0.557,1.033,-0.997,0.00136,0.00258,0.00491,43.03333333333333,141.96666666666667
1220100,1947-01-01,2010-12-31,23375,348.0,144.0,35.0,7.0,0.0,0.0,0.0,-0.657,1.68,-0.999,0.00121,0.00258,0.00549,43.21666666666667,141.78333333333333
1220200,1996-04-01,2010-12-31,5387,77.0,39.0,6.0,2.0,0.0,0.0,0.0,-0.645,1.656,-0.989,0.00138,0.00291,0.00611,43.333333333333336,141.85
1260000,1919-01-01,2010-12-31,33602,143.0,44.0,20.0,3.0,0.0,0.0,0.0,-0.583,0.926,-0.973,0.000698,0.00137,0.00267,43.766666666666666,142.36666666666667
1270000,1996-04-01,2010-12-31,5387,72.0,25.0,5.0,1.0,0.0,0.0,0.0,-0.699,1.627,-1.0,0.000542,0.00121,0.00271,43.35,142.38333333333333
1270100,1996-04-01,2010-12-31,5387,46.0,13.0,2.0,1.0,0.0,0.0,0.0,-0.557,0.974,-0.967,0.00119,0.00226,0.00429,43.45,142.46666666666667
1270300,1994-07-15,2010-12-31,6013,79.0,15.0,6.0,2.0,0.0,0.0,0.0,-0.438,0.848,-0.999,0.0061,0.0101,0.0167,43.166666666666664,142.58333333333334
1300100,1921-01-01,2010-12-31,32871,202.0,79.0,26.0,4.0,1.0,0.0,0.0,-0.651,1.301,-0.996,0.000559,0.00118,0.0025,44.36666666666667,141.7
1300101,1994-07-15,2010-12-31,6013,19.0,8.0,3.0,2.0,0.0,0.0,0.0,-0.301,0.247,-0.972,0.0138,0.0195,0.0276,44.43333333333333,141.41666666666666
1300200,1994-07-15,2010-12-31,6013,16.0,7.0,1.0,1.0,0.0,0.0,0.0,-0.423,0.333,-0.866,0.00237,0.00386,0.00627,44.4,141.85
1310000,1943-01-01,2010-12-31,24836,160.0,66.0,19.0,2.0,0.0,0.0,0.0,-0.759,1.578,-0.986,0.000183,0.00044,0.00105,43.95,141.63333333333333
1400000,1919-01-01,2010-12-31,33602,251.0,72.0,19.0,3.0,0.0,0.0,0.0,-0.69,1.311,-0.996,0.000302,0.000669,0.00148,44.016666666666666,144.28333333333333
1400300,1996-04-01,2010-12-31,5387,115.0,37.0,7.0,3.0,0.0,0.0,0.0,-0.546,1.431,-0.983,0.0041,0.00768,0.0144,43.81666666666667,144.1
1400500,1996-04-01,2010-12-31,5387,176.0,57.0,9.0,3.0,0.0,0.0,0.0,-0.639,1.812,-0.989,0.00217,0.00453,0.00945,43.916666666666664,144.66666666666666
1410000,1996-04-01,2010-12-31,5387,32.0,29.0,12.0,1.0,1.0,0.0,0.0,-0.547,1.38,-0.941,0.00358,0.00671,0.0126,43.81666666666667,143.9
1410001,1996-04-01,2010-12-31,5387,59.0,13.0,2.0,1.0,0.0,0.0,0.0,-0.557,0.974,-0.967,0.00119,0.00226,0.00429,43.78333333333333,143.61666666666667
1420200,1994-07-15,2010-12-31,6013,64.0,12.0,1.0,1.0,0.0,0.0,0.0,-0.54,0.762,-0.866,0.000966,0.0018,0.00335,44.016666666666666,143.35
1450000,1996-04-01,2010-12-31,5387,858.0,380.0,126.0,20.0,0.0,0.0,0.0,-0.639,2.743,-0.99,0.0185,0.0386,0.0807,42.46666666666667,140.88333333333333
1460000,1923-06-01,2010-12-31,31990,547.0,150.0,39.0,6.0,0.0,0.0,0.0,-0.699,1.67,-0.996,0.000598,0.00134,0.00299,42.31666666666667,140.96666666666667
1460100,1942-01-01,2010-12-31,25201,1088.0,369.0,94.0,16.0,2.0,0.0,0.0,-0.757,2.321,-0.996,0.00106,0.00253,0.00604,42.61666666666667,141.55
1460300,1996-04-01,2010-12-31,5387,167.0,46.0,7.0,3.0,0.0,0.0,0.0,-0.593,1.605,-0.977,0.00285,0.00564,0.0112,42.55,141.35
1500100,1997-02-03,2010-12-31,5079,46.0,18.0,3.0,1.0,0.0,0.0,0.0,-0.628,1.317,-0.991,0.000839,0.00173,0.00356,42.78333333333333,142.36666666666667
1510300,1996-04-01,2010-12-31,5386,619.0,236.0,59.0,7.0,4.0,1.0,0.0,-0.591,2.315,-0.987,0.015,0.0296,0.0584,42.35,142.36666666666667
1520000,1927-01-01,2010-12-31,30680,3635.0,1348.0,411.0,68.0,15.0,3.0,0.0,-0.674,2.619,-0.999,0.00792,0.0172,0.0374,42.166666666666664,142.78333333333333
1520200,1994-07-15,2010-12-31,6013,120.0,42.0,9.0,3.0,0.0,0.0,0.0,-0.573,1.521,-0.995,0.00323,0.00625,0.0121,42.016666666666666,143.15
1550300,1994-07-15,2010-12-31,6013,279.0,83.0,18.0,6.0,2.0,0.0,0.0,-0.533,1.713,-0.996,0.00957,0.0177,0.0327,43.3,143.76666666666668
1560000,1919-01-01,2010-12-31,33602,1758.0,680.0,225.0,35.0,5.0,0.0,0.0,-0.721,2.416,-0.993,0.00234,0.00538,0.0123,42.916666666666664,143.21666666666667
1560300,1996-04-01,2010-12-31,5387,336.0,125.0,21.0,5.0,1.0,0.0,0.0,-0.691,2.281,-0.999,0.00276,0.00612,0.0136,43.016666666666666,142.88333333333333
1560500,1994-07-15,2010-12-31,6013,217.0,69.0,10.0,4.0,1.0,0.0,0.0,-0.591,1.714,-0.99,0.00375,0.0074,0.0146,42.61666666666667,143.36666666666667
1560800,1996-04-01,2010-12-31,5387,386.0,116.0,24.0,4.0,1.0,0.0,0.0,-0.697,2.283,-0.999,0.00253,0.00564,0.0126,43.11666666666667,143.61666666666667
1570400,1958-01-01,2010-12-31,19357,1987.0,753.0,215.0,32.0,7.0,0.0,0.0,-0.692,2.588,-0.997,0.00553,0.0123,0.0272,42.3,143.31666666666666
1600000,1996-04-01,2010-12-31,5387,395.0,126.0,33.0,5.0,3.0,0.0,0.0,-0.569,2.021,-0.98,0.0109,0.021,0.0405,43.483333333333334,144.45
1610000,1919-01-01,2010-12-31,33602,4339.0,1450.0,384.0,76.0,11.0,2.0,0.0,-0.726,2.735,-0.998,0.00448,0.0103,0.0238,42.983333333333334,144.38333333333333
1610002,1994-07-15,2010-12-31,6013,324.0,101.0,18.0,5.0,1.0,0.0,0.0,-0.657,2.072,-0.999,0.00298,0.00634,0.0135,42.9,143.83333333333334
1610200,1994-07-15,2010-12-31,6013,486.0,188.0,52.0,16.0,5.0,2.0,0.0,-0.496,2.008,-0.998,0.0341,0.0605,0.107,43.0,144.7
1650000,1994-07-15,2010-12-31,6013,414.0,117.0,23.0,8.0,1.0,0.0,0.0,-0.666,2.199,-0.993,0.00342,0.00738,0.0159,43.583333333333336,144.71666666666667
1650200,1994-07-15,2010-12-31,6013,179.0,43.0,7.0,2.0,1.0,0.0,0.0,-0.544,1.384,-0.981,0.00374,0.007,0.0131,43.93333333333333,145.11666666666667
1660000,1996-04-01,2010-12-31,5387,706.0,266.0,83.0,16.0,4.0,0.0,0.0,-0.618,2.533,-0.998,0.016,0.0326,0.0665,43.4,145.11666666666667
