station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb,code_prime
1010241,C,2018,9,6,3,8,59,6639,1010240
1020001,C,2018,9,6,3,8,55,5013,1020001
1060023,C,2016,6,16,14,21,58,9757,1060023
1460600,C,2019,2,21,21,22,59,8074,1460600
1460600,7,2018,9,6,3,8,65,9673,1460600
1460631,D,2018,9,6,3,8,60,4619,1460630
1460920,D,2018,9,6,3,8,64,7119,1460920
1460921,D,2018,9,6,3,8,64,17957,1460921
1461020,D,2018,9,6,3,8,64,6620,1461020
1461021,D,2018,9,6,3,8,61,7735,1461021
1500021,C,2018,9,6,3,8,56,3738,1500021
1500121,C,2018,9,6,3,8,59,7378,1500121
1510030,C,2003,9,26,4,50,57,2694,1510030
1510300,C,2003,9,26,04,50,55,02724,1510300
1520000,C,2003,9,26,04,50,56,03680,1520000
1520000,C,2003,9,26,06,08,58,05077,1520000
1550130,C,2003,9,26,4,50,55,3713,1550130
1560530,C,2003,9,26,4,50,58,10910,1560530
1560531,C,2003,9,26,4,50,55,4304,1560531
1560730,C,2003,9,26,4,50,55,6170,1560730
1610130,C,2003,9,26,4,50,58,4821,1610130
1610200,C,2003,9,26,04,50,55,06397,1610200
2020020,C,2008,7,24,0,26,55,6229,2020020
2020030,C,2008,7,24,0,26,55,8332,2020030
2021500,C,2008,7,24,00,26,58,05476,2021500
2021930,C,2008,7,24,0,26,55,5921,2021930
2101230,C,2008,7,24,0,26,55,02711,2101230
2110000,C,2003,5,26,18,24,58,11068,2110000
2110000,C,2011,3,11,14,46,56,10764,2110000
2110000,C,2011,4,07,23,33,55,/////,2110000
2110001,C,2011,3,11,14,46,56,09918,2110001
2110220,C,2011,3,11,14,46,57,7415,2110220
2110220,C,2011,4,7,23,33,56,7549,2110220
2120210,C,1998,9,3,16,58,59,8125,2120210
2121530,C,2011,3,11,14,47,57,05169,2121530
2121530,C,2011,4,7,23,33,56,04501,2121530
2121730,C,2011,3,11,14,47,56,03703,2121730
2130100,C,2011,3,11,14,46,55,05281,2130100
2130420,C,2011,3,11,14,47,58,10620,2130420
2130420,C,2011,4,7,23,33,59,08706,2130420
2130430,C,2011,3,11,14,47,56,08118,2130430
2130430,C,2011,4,7,23,33,58,06523,2130430
2130431,C,2011,3,11,14,47,58,07562,2130431
2130431,C,2011,4,7,23,33,57,08328,2130431
2130432,C,2011,4,7,23,33,55,06546,2130432
2130433,C,2003,5,26,18,24,57,10626,2130433
2130433,C,2011,3,11,14,46,55,06454,2130433
2130433,C,2011,4,7,23,33,55,07024,2130433
2130439,C,2011,3,11,14,47,56,06214,2130439
2131830,C,2003,5,26,18,24,56,06680,2131830
2131830,C,2011,4,7,23,33,55,05803,2131830
2132730,C,2003,5,26,18,24,55,04026,2132730
2132730,C,2011,4,7,23,33,56,04061,2132730
2132731,C,2011,3,11,14,46,55,05045,2132731
2132731,C,2011,4,7,23,33,58,05234,2132731
2132732,C,2008,6,14,8,43,55,05800,2132732
2132733,D,2008,6,14,8,43,61,18165,2132733
2132733,C,2003,5,26,18,24,56,10399,2132733
2132734,C,2011,3,11,14,46,55,05390,2132733
2132734,C,2011,4,7,23,33,57,06065,2132733
2200200,C,2011,3,11,14,47,58,06841,2200200
2200230,C,2011,3,11,14,46,55,07242,2200230
2201600,D,2011,3,11,14,47,60,04791,2201600
2201600,C,2003,5,26,18,24,55,04453,2201600
2201600,C,2003,7,26,07,13,58,05992,2201600
2201600,C,2011,4,07,23,32,57,05465,2201600
2205200,C,2003,5,26,18,24,55,04653,2205200
2205200,C,2008,6,14,08,43,59,06991,2205200
2205200,C,2011,3,11,14,47,57,07117,2205200
2205200,C,2011,4,07,23,33,56,06210,2205200
2205220,D,2011,4,7,23,33,61,12588,2205220
2205220,C,2008,6,14,8,43,57,08124,2205220
2205220,7,2011,3,11,14,47,66,29337,2205220
2205230,D,2011,3,11,14,47,63,/////,2205230
2205230,D,2011,4,7,23,33,62,05234,2205230
2205231,D,2011,3,11,14,47,61,08999,2205231
