station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb,code_prime
1000000,A,2018,9,06,03,08,49,01379,1000000
1000001,A,2018,9,6,3,8,48,2236,1000001
1000022,A,2018,9,6,3,8,46,1130,1000022
1000230,A,2003,9,26,4,50,46,969,1000230
1000231,A,2018,9,6,3,8,48,1781,1000230
1010120,B,2018,9,6,3,8,50,1687,1010120
1010140,B,2018,9,6,3,8,52,1970,1010140
1010141,B,2018,9,6,3,8,53,2222,1010141
1010141,A,2019,2,21,21,22,45,1182,1010141
1010241,C,2018,9,6,3,8,59,6639,1010240
1010340,B,2018,9,6,3,8,54,3090,1010330
1010440,A,2018,9,6,3,8,47,1506,1010440
1010640,A,2018,9,6,3,8,45,1350,1010640
1010740,A,2018,9,6,3,8,49,2473,1010740
1010840,B,2018,9,6,3,8,50,1874,1010840
1010840,A,2019,2,21,21,22,45,1376,1010840
1010900,A,2018,9,06,03,08,48,02412,1010900
1010920,B,2018,9,6,3,8,51,2777,1010920
1011040,B,2018,9,6,3,8,51,2778,1011040
1020000,B,2018,9,06,03,08,52,03762,1020000
1020000,A,2019,2,21,21,22,47,02218,1020000
1020001,C,2018,9,6,3,8,55,5013,1020001
1020020,B,2018,9,6,3,8,53,4510,1020020
1020020,A,2019,2,21,21,22,47,2472,1020020
1020021,B,2018,9,6,3,8,52,5866,1020021
1020021,A,2019,2,21,21,22,47,2039,1020021
1020100,A,2018,9,06,03,08,46,01259,1020100
1020130,B,2018,9,6,3,8,51,3211,1020130
1020220,A,2018,9,6,3,8,47,2057,1020220
1060000,5,1968,5,16,09,49,//,/////,1060000
1060021,A,2016,1,14,12,25,45,1618,1060021
1060021,A,2016,6,16,14,21,47,2433,1060021
1060022,A,2016,1,14,12,25,46,1473,1060022
1060022,A,2018,9,6,3,8,46,1340,1060022
1060023,C,2016,6,16,14,21,58,9757,1060023
1100000,5,1993,7,12,22,17,//,/////,1100000
1150000,5,1993,7,12,22,17,//,/////,1150000
1170100,5,1993,7,12,22,17,//,/////,1170100
1190070,5,1993,8,//,//,//,//,/////,1190070
1200300,5,1995,5,23,19,01,//,/////,1200300
1220131,A,2003,9,26,4,50,45,1150,1220131
1220134,A,2018,9,6,3,8,45,1536,1220131
1220331,B,2018,9,6,3,8,50,2464,1220330
1220630,A,2003,9,26,4,50,49,1190,1220630
1220631,A,2018,9,6,3,8,49,1786,1220630
1220720,A,2018,9,6,3,8,49,6310,1220720
1220831,B,2018,9,6,3,8,50,1939,1220830
1220830,A,2003,9,26,4,50,48,1241,1220830
1220831,A,2019,2,21,21,22,46,1076,1220830
1220930,A,2003,9,26,4,50,45,871,1220930
1220931,A,2018,9,6,3,8,48,1956,1220930
1270230,A,2003,9,26,4,50,45,1065,1270230
1300030,B,2004,12,14,14,56,50,2124,1300030
1300100,A,2004,12,14,14,56,47,02334,1300100
1350220,A,2019,12,12,1,9,45,1924,1350220
1400630,A,2003,9,26,4,50,47,1360,1400630
1410000,A,2003,9,26,4,50,48,1299,1410000
1410230,A,2003,9,26,4,50,45,1033,1410230
1450021,A,2018,9,6,3,8,46,1864,1450021
