code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old
1000000,14119,4310,石狩市花川,[1000000],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4310],[14119],,
1000001,14125,4317,石狩市聚富,[1000001],[],[],2012-10-02,2023-12-31,['2012-10-02'],['2023-12-31'],[4317],[14125],,
1000020,14126,4324,石狩市厚田,[1000020],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4324],[14126],,
1000021,14123,4336,石狩市浜益,[1000021],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4336],[14123],,
1000022,14118,4310,石狩市花畔,[1000022],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[4310],[14118],,
1000120,14131,4313,当別町白樺,[1000120],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4313],[14131],,
1000230,14139,4314,新篠津村第４７線,"[1000230, 1000231]",[0],[0.0],2002-07-29,2023-12-31,"['2002-07-29', '2011-05-12']","['2011-05-12', '2023-12-31']","[4314, 4314]","[14139, 14139]",,
1010000,14120,4304,札幌中央区北２条,[1010000],[],[],1919-01-01,2023-12-31,['1919-01-01'],['2023-12-31'],[4304],[14120],,
1010040,14121,4303,札幌中央区南４条,[1010040],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4303],[14121],,
1010120,14121,4308,札幌北区太平,[1010120],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4308],[14121],,
1010140,14121,4309,札幌北区篠路,[1010140],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4309],[14121],,
1010141,14120,4307,札幌北区新琴似,[1010141],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4307],[14120],,
1010240,14122,4306,札幌東区元町,"[1010240, 1010241]",[0],[0.0],2011-01-06,2023-12-31,"['2011-01-06', '2013-06-11']","['2013-06-11', '2023-12-31']","[4306, 4306]","[14122, 14122]",,
1010330,14124,4303,札幌白石区本郷通札幌白石区北郷,"[1010330, 1010340, 1010341]","[0, 0]","[1.36, 1.36, 0.0]",2002-07-29,2023-12-31,"['2002-07-29', '2011-01-06', '2020-03-30']","['2011-01-06', '2020-03-30', '2023-12-31']","[4303, 4303, 4303]","[14124, 14125, 14125]",,"['2011-05-12', '2020-03-30', '2023-12-31']"
1010440,14124,4302,札幌豊平区月寒東,[1010440],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4302],[14124],,
1010520,14110,4258,札幌南区定山渓温泉,"[1010520, 1010521]",[0],[1.36],2006-03-01,2023-12-31,"['2006-03-01', '2022-04-22']","['2022-04-22', '2023-12-31']","[4258, 4258]","[14110, 14111]",,
1010540,14121,4259,札幌南区真駒内札幌南区川沿,"[1010540, 1010542]",[0],[2.3],2011-01-06,2023-12-31,"['2011-01-06', '2018-02-22']","['2018-02-22', '2023-12-31']","[4259, 4300]","[14121, 14120]",,
1010541,14115,4258,札幌南区簾舞札幌南区石山,"[1010541, 1010543]",[0],[6.8],2011-01-06,2023-12-31,"['2011-01-06', '2018-02-21']","['2018-02-21', '2023-12-31']","[4258, 4258]","[14115, 14120]",,
1010640,14118,4304,札幌西区琴似,[1010640],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4304],[14118],,
1010740,14130,4302,札幌厚別区もみじ台,[1010740],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4302],[14130],,
1010840,14116,4307,札幌手稲区前田,[1010840],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4307],[14116],,
1010900,14132,4306,江別市高砂町,[1010900],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4306],[14132],,
1010920,14133,4307,江別市緑町,[1010920],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4307],[14133],,
1011040,14127,4300,札幌清田区平岡,[1011040],[],[],2011-01-06,2023-12-31,['2011-01-06'],['2023-12-31'],[4300],[14127],,
1020000,14138,4250,千歳市北栄,[1020000],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4250],[14138],,
1020001,14141,4247,新千歳空港,[1020001],[],[],2007-07-02,2023-12-31,['2007-07-02'],['2023-12-31'],[4247],[14141],,
1020020,14136,4247,千歳市若草,[1020020],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4247],[14136],,
1020021,14124,4247,千歳市支笏湖温泉,[1020021],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[4247],[14124],,
1020100,14127,4251,恵庭市漁平,[1020100],[],[],1994-07-15,2023-12-31,['1994-07-15'],['2023-12-31'],[4251],[14127],,
1020130,14135,4253,恵庭市京町,[1020130],[],[],2002-07-29,2023-12-31,['2002-07-29'],['2023-12-31'],[4253],[14135],,
1020220,14133,4300,北広島市共栄,[1020220],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4300],[14133],,
1050000,14015,4212,八雲町大新,[1050000],[],[],1994-07-15,1998-02-09,['1994-07-15'],['1998-02-09'],[4212],[14015],,
1050001,14022,4207,八雲町上の湯,[1050001],[],[],1998-02-09,2023-12-31,['1998-02-09'],['2023-12-31'],[4207],[14022],,
1050020,14016,4216,八雲町住初町,[1050020],[],[],2006-03-01,2023-12-31,['2006-03-01'],['2023-12-31'],[4216],[14016],,
