,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
0,1450000,14053,4228,胆振伊達市梅本,[1450000],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4228],[14053],,,4.0,5.0,9040.0,0.004975334539826515
1,7790300,12842,2726,和泊町国頭,[7790300],[],[],1953-01-01,2023-12-31,['1953-01-01'],['2023-12-31'],[2726],[12842],,,4.0,5.0,24836.0,0.012919826159929983
2,2000200,14057,4056,平内町小湊,[2000200],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[4056],[14057],,,4.0,5.0,9040.0,0.016378174929777473
3,7520036,13159,3255,佐伯市米水津,"[7520036, 7520041]",[0],[0.0],2000-07-18,2023-12-31,"['2000-07-18', '2011-05-12']","['2011-05-12', '2023-12-31']","[3255, 3255]","[13159, 13159]",,,4.0,5.0,7471.0,0.017157705239230048
4,3016230,14000,3601,常総市水海道諏訪町,"[3016230, 3016234]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2012-03-27']","['2012-03-27', '2023-12-31']","[3601, 3601]","[14000, 14000]",,,4.0,5.0,8113.0,0.02659412963224588
5,3570001,13931,3404,三宅村阿古,"[3570001, 3570020]",[0],[3.59],1994-07-15,2023-12-31,"['1994-07-15', '2013-01-07']","['2013-01-07', '2023-12-31']","[3404, 3405]","[13931, 13929]","['1994-07-15', '2010-07-01']",,4.0,5.0,9666.0,0.0290885303294257
6,4210300,13807,3603,諏訪市湖岸通り,[4210300],[],[],1945-01-01,2023-12-31,['1945-01-01'],['2023-12-31'],[3603],[13807],,,4.0,5.0,27758.0,0.030305404300970173
7,5503530,13511,3355,日高川町土生,"[5503530, 5503533]",[0],[0.0],1997-11-10,2023-12-31,"['1997-11-10', '2010-03-31']","['2010-03-31', '2023-12-31']","[3355, 3355]","[13511, 13511]",,,4.0,5.0,8452.0,0.033994329059669814
8,3724332,13911,3750,阿賀野市姥ヶ橋,"[3724332, 3724335]",[0],[0.0],1997-11-10,2023-12-31,"['1997-11-10', '2010-11-24']","['2010-11-24', '2023-12-31']","[3750, 3750]","[13911, 13911]",,,4.0,5.0,8452.0,0.04311870198719376
9,7520030,13154,3258,佐伯市役所,"[7520030, 7520042, 7520043]","[0, 0]","[0.0, 0.0, 0.0]",2000-07-18,2023-12-31,"['2000-07-18', '2012-03-27', '2014-02-04']","['2012-03-27', '2014-02-04', '2023-12-31']","[3258, 3258, 3258]","[13154, 13154, 13154]",,,4.0,5.0,7471.0,0.04514542102299605
